الدكتور المشرف,العام الدراسي,اسم المشروع,وصف المشروع
محمود رحال_ عثمان اسماعيل,2020_2021,تحكم بمصنع عن طريق الواي فاي,يهدف لتصميم بنية مصغرة للتحكم في عمل بعض الاجهزة الالكترونية كالمحركات واللدات وغيرها عن طريق تصميم صفحة ويب مهمتها التحكم في هذا المصنع ورفع هذه الصفحة على مخدم على الانترنيت ليتسنى الدخول اليها وتحكم عن بعد
ديمة مفتي  الشوافعة,2020_2021,منصة لبناء وتخديم المتاجر ,يهدف مشروع لبناء منصة رقمية وتخديم متاجر الالكترونية تتمحور الفكرة عامة حول تقديم خدمة للزبائن ليقومو ببناء متاجرهم الالكترونية بدون اي خبرات برمجية او تقنية سابقة وتقديم مساعدة اللازمة لهم لبدء باتجارة الالكترونية وصوصول الى زبائن مستهدفين وتوفير اضافات مساعدة تستخدم ذكاء الاصطناعي كاالتعرف على صوت وchatbot  ومصنف يقوم بتصنيف منتجات حسب الصورة
عامر بوشي_زكريا مهروسة_احمد بليد,2020_2021,تنفيذ نظام حماية وملاحقة المركبات باستخدام انظمة الملاحة عبر الاقمار صناعية,يهدف مشروع لبناء منظومة مراقبة وتحكم بالمركبات وتحديد موقع المركبة حال فقدان وتخاطب وتواصل مع مركبة وتعرف على هوية السارق من خلال فتح تسجيل صوتي وتحكم بلمركبة عن بعد
عامر بوشي_جهاد ططري,2020_2021,اتمتة بطاقة ذكية لتوزيع مواد تموينية,توزيع المواد تموينية لمادتي سكر والارز لكل اسرة وذلك لتجنب الازدحام بين مواطنين في اثناء محاولتهم الحصول على تلك مواد
ديمة مفتي الشوافعة,2020_2021,تطبيق اندرويد Grocery Market,هو تطبيق برمجي في الاساس  حيث انه برنامج تم إنشاؤه بواسطة كومبوتر وقد تم تصميمه وتطويره ليتم تشغيله على اجهزة iphone وهواتف ذكية والاجهزة اللوحية والعديد من الاجهزة محمولة الاخرى 
عامر بوشي_جهاد ططري,2020_2021,نظام GIS لحدائق مدينة حلب,بناء نظام معلومات جغرافي للحدائق في مدينة حلب بتطبيق android للهواتف ذكية من خلال مخططات للحدائق مدعومة بقواعد بيانات مخزنة على حاسب وتحتوي هذه القواعد على احداثيات مخططات ومعلومات المرتبطة مع هذه الاحداثيات
حازم عيسى_زكريامهروسة_عامر بوشي,2020_2021,متابعة مريض عن طريق التنبهات الذكية ,مساعدة المرضى على تذكر مواعيد تناول الادوية ومواعيد مراجعة الاطباء ومتابعة حالتهم الصحية من خلال تحاليل واتباع الحميات الغذائية
ديمة مفتي الشوافعة,2020_2021,تطبيق لتعليم وتطوير مهارات برمجية,يقوم تطبيق بتقديم عديد من كورسات البرمجية لمختلف اللغات ويقسم كل كورس تعليمي الى عدة مستويات وتتركز طريقة تقديم كل كورس عن طريق طرح معلومات بشكل كتل توضيحية لكل مفهوم برمجي تتميز بلبساطة والشرح مدعوم بتنسيقات وفي نهاية كل كورس يوجد امتحان يجبر مستخدم هلى تنفيذه للانتقال الى مستوى تالي 
ديمة مفتي الشوافعة,2020_2021,معرف السيارة_car detector,"يهدف هذا المشروع إلى تصميم وتنفيذ نظام برمجبي متطور يعتمد على تقنيات الذكاء الاصطناعي وتعلم الآلة للكشف عن السيارات وتحديد مواقعها ضمن الصور أو تدفقات الفيديو اللحظية. يقوم النظام بمعالجة الإطارات الصورية وعزل الأجسام المتحركة، ثم استخدام نماذج تدريبية عميقة (Deep Learning) لتمييز السيارات عن غيرها من الأجسام، مع إمكانية تصنيف نوع المركبة (سيارة، شاحنة، دراجة) وتتبع حركتها، مما يخدم أنظمة المرور الذكية والمراقبة الأمنية."""
محمود رحال_ عثمان اسماعيل,2020_2021,دراسة وتصميم منظومة روبوتية خاصة بأعمال وحدات الهندسة عسكرية,توظيف تكنولوجيا المتطورة في تطوير منظومة روبوتية من شأنها حماية الانسان وتخفيف الاضرار المادية وبشرية
عامر بوشي_ جهاد ططري,2020_2021,تطبيق اندرويد نظام GIS للصيدليات المناوبة,يهدف مشروع لمساعدة مستخدم في ايجاد صيدلية مناوبة ومساعدة المستخدم في ايجاد دواء وايجاد اقصر مسافة بين موقعة واقرب صيدلة ومساعدة مستخدم على تحدث مع صيدلي عن اي استفسار عن دواء
زكريا مهروسة,2020_2021,تطبيق اندرويد لحل المعادلات الرياضية المطبوعة ومكتوبة بخط يد,تم انشاء تطبيق اعتمادا على كاميرا موبايل حيث تم استخدام تقنية ocr التي تعتمد على خوارزمية تتبع مسار chain code كأداة في تتبع مسار الحرف وتمييزه قد تم بناء هذا تطبيق وكتابة برمجياته بواسطة لغة جافا وبيئة اندرويد استديو بالاضافة الى وجود الاله حاسبة تحوي متحولات يمكن كتابة معادلات وحلها ايضا قمنا بإضافة ميزة تحويلات القياس
عامر بوشي_جهاد ططري,2020_2021,مشروع الخير,هذا مشروع هو جسر يربط بين المتبرع والمؤسسات الخيريةحيث يتكون من تطبيقين تطبيق للجمعيات الخيرية تقوم الجمعيات من خلاله بإعلان عن نشاطاتها وتطبيق للمسخدمين يتم فيه عرض كل ماتقوم الجمعيات الخيرية بالاعلان عنه
عامر بوشي_ جهاد ططري,2020_2021,بيع وشراء الحيوانات الاليفة ,يهدف هذا تطبيق على تمكين البائع من ترويج حيواناته بالشكل المناسب للزبون وتسهيل التواصل بين الزبون والبائع وتسريع عملية البحث عن حيوانات وشرائها ومعرفة زبون للمراكز الصحية الاقرب لمنزله وتمكين زبائن من الاطلاع على حيوانات الاجنبية
حازم عيسى_ زكريا مهروسة,2020_2021,التعرف على الاشكال باستخداام الشبكات مدربة مسبقا وتعلم العميق,"يهدف هذا المشروع إلى تصميم وتنفيذ نظام متطور للتعرف على الأشكال الهندسية وتصنيفها آلياً باستخدام تقنيات التعلم العميق (Deep Learning). يعتمد المشروع على استراتيجية التعلم الانتقالي (Transfer Learning) من خلال توظيف شبكات عصبية تلافيفية (CNN) مدربة مسبقاً على قواعد بيانات ضخمة (مثل ResNet أو VGG16)، وإعادة ضبطها (Fine-tuning) لتصبح قادرة على تمييز الأشكال بدقة عالية حتى في ظروف الإضاءة المتغيرة أو الزوايا المختلفة. يساهم النظام في أتمتة عمليات الفرز الصناعي والتعرف البصري في الروبوتات."""
محمود رحال -عثمان إسماعيل,2020-2021,مراقبة الطفل الرضيع اليا,مساعدة الأم ععى مراقبة طفلها ومراقبة الحالة الصحية للغرفة كدرجة الحرارة والرطوبة بالإضافة الى تزويد النظام بكاميرا للمراقبة عن بعد
محمود رحال -عثمان إسماعيل,2020-2021,تصميم وتنفيذ حاقن الي باستخدام تطبيقAndroid,تصميم جهاز يقوم بحقن كميات محددة من الدواء بالإضافة الى قياس اكسجة الدم ومراقبة نبضات القلب
